time, interval
0:9:16.54000091552734375000 ,45
0:9:17.32500076293945312500 ,43
0:9:18.10000038146972656250 ,41
0:9:18.85000038146972656250 ,39
0:9:19.56999969482421875000 ,39
0:9:20.25499916076660156250 ,39
0:9:20.91999053955078125000 ,39
0:9:21.57999992370605468750 ,42
0:9:22.26000022888183593750 ,42
0:9:22.95000076293945312500 ,42
0:9:23.64999961853027343750 ,42
0:9:24.36499977111816406250 ,42
0:9:25.07500076293945312500 ,42
0:9:25.78000068664550781250 ,42
0:9:26.49500083923339843750 ,43
0:9:27.21500015258789062500 ,43
0:9:27.94499969482421875000 ,44
0:9:28.66500091552734375000 ,45
0:9:29.37999916076660156250 ,45
0:9:30.11000061035156250000 ,45
0:9:30.84499931335449218750 ,45
0:9:31.59499931335449218750 ,45
0:9:32.34999847412109375000 ,45
0:9:33.10499954223632812500 ,45
0:9:33.86999893188476562500 ,45
0:9:34.64500045776367187500 ,45
0:9:35.41500091552734375000 ,45
0:9:36.17499923706054687500 ,45
0:9:36.93500137329101562500 ,45
0:9:37.68999862670898437500 ,43
0:9:38.41999053955078125000 ,43
0:9:39.17499923706054687500 ,43
0:9:39.90499877929687500000 ,41
0:9:40.62500000000000000000 ,41
0:9:41.31000137329101562500 ,40
